qid,question,candidates
26,ما هو الحد الأدنى للأجور في نظام العمل؟,م89: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة التاسعة والثمانون: النص: لمجلس الوزراء عن | م96: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة السادسة والتسعون: النص: إذا كان أجر العام | م95: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الخامسة والتسعون: النص: إذا لم ينص عقد ال
27,هل يجوز لصاحب العمل اقتطاع مبالغ من أجر العامل؟,م92: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الثانية والتسعون: النص: لا يجوز حسم أي مب | م67: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل من العمل في الحالات المقررة في النظام . المادة السابعة والس | م70: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل من العمل في الحالات المقررة في النظام . المادة السبعون: الن | م86: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الرابع المادة السادسة والثمانون: النص: استثناء من حكم الماد
28,متى يعتبر العقد منتهياً في نظام العمل؟,م74: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثالث المادة الرابعة والسبعون: النص: ينتهي عقد العمل في أي
29,ما حقوق العامل عند إفلاس صاحب العمل؟,م19: المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة التاسعة عشرة: النص: تعد المبالغ  | م88: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الرابع المادة الثامنة والثمانون: النص: إذا انتهت خدمة العام | م91: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الحادية والتسعون: النص: إذا تسبب عامل في  | م92: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة الثانية والتسعون: النص: لا يجوز حسم أي مب
30,هل يحق للعامل الاستقالة وما إجراءاتها؟,م79: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثالث المادة التاسعة والسبعون مكرر: النص: يُعد طلب الاستقا | م81: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثالث المادة الحادية والثمانون: النص: يحق للعامل أن يترك ا
31,ما واجبات صاحب العمل في السلامة والصحة المهنية؟,م65: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثاني المادة الخامسة والستون: النص: بالإضافة إلى الواجبات  | م126: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م124: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م123: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م121: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد
32,هل يجب على صاحب العمل توفير رعاية طبية للعمال؟,م144: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م143: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م139: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد | م153: المصدر: نظام العمل السعودي الباب التاسع - تشغيل النساء المادة الثالثة والخمسون بعد المائة: النص: على صاحب العمل توفير ال | م146: المصدر: نظام العمل السعودي الباب الثامن - الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخد
33,ما شروط تشغيل العمال في المناجم والمحاجر؟,م193: المصدر: نظام العمل السعودي الباب الثاني عشر - العمل في المناجم والمحاجر المادة الثالثة والتسعون بعد المائة: النص: مع عدم | م187: المصدر: نظام العمل السعودي الباب الثاني عشر - العمل في المناجم والمحاجر المادة السابعة والثمانون بعد المائة: النص: لا يج | م186: المصدر: نظام العمل السعودي الباب الثاني عشر - العمل في المناجم والمحاجر المادة السادسة والثمانون بعد المائة: النص: لا يج | م185: المصدر: نظام العمل السعودي الباب الثاني عشر - العمل في المناجم والمحاجر المادة الخامسة والثمانون بعد المائة: النص: يقصد  | م189: المصدر: نظام العمل السعودي الباب الثاني عشر - العمل في المناجم والمحاجر المادة التاسعة والثمانون بعد المائة: النص: يحظر 
34,هل يحق للعامل أجر إضافي في أيام العطل؟,م107: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الثالث المادة السابعة بعد المائة: النص: يجب على صاحب ا | م115: المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الخامسة عشرة بعد المائة: النص: للعامل - 
35,ما مدة عقد العمل محدد المدة؟,م55: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الخامسة والخمسون: النص: ينتهي عقد العمل المحدد
36,متى يتجدد عقد العمل تلقائياً؟,م55: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الخامسة والخمسون: النص: ينتهي عقد العمل المحدد | م56: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة السادسة والخمسون: النص: في جميع الحالات التي ي
37,ما حقوق العامل عند نقله إلى عمل بأجر أقل؟,م58: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الثامنة والخمسون: النص: لا يجوز لصاحب العمل أن | م59: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة التاسعة والخمسون: النص: لا يجوز نقل العامل ذي  | م18: المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الثامنة عشرة: النص: إذا انتقلت م
38,هل يجوز لصاحب العمل تكليف العامل بعمل يختلف عن عمله الأصلي؟,م60: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الستون: النص: مع عدم الإخلال بما تضمنته المادة | م58: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الثامنة والخمسون: النص: لا يجوز لصاحب العمل أن | م38: المصدر: نظام العمل السعودي الباب الثالث - توظيف غير السعوديين المادة الثامنة والثلاثون : النص: لا يجوز لصاحب العمل توظيف
39,ما المقصود بعقد العمل الموسمي؟,م50: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة الخمسون: النص: عقد العمل هو عقد مبرم بين صاحب  | م59: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الأول المادة التاسعة والخمسون: النص: لا يجوز نقل العامل ذي  | م175: المصدر: نظام العمل السعودي الباب الحادي عشر - عقد العمل البحري المادة الخامسة والسبعون بعد المائة: النص: إذا أختصر السفر | م178: المصدر: نظام العمل السعودي الباب الحادي عشر - عقد العمل البحري المادة الثامنة والسبعون بعد المائة: النص: دون إخلال بالأح
40,ما حقوق العامل عند إنهاء عقده لأسباب اقتصادية؟,م75: المصدر: نظام العمل السعودي الباب الخامس - علاقات العمل الفصل الثالث المادة الخامسة والسبعون: النص: 1- إذا كان العقد غير  | م18: المصدر: نظام العمل السعودي الباب الأول - التعريفات / الأحكام العامة الفصل الثاني المادة الثامنة عشرة: النص: إذا انتقلت م
