experiment,corpus,method,eval_index,question,evaluable,hit_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,latency_ms,top1_doc_id,top1_article_number,top1_source_type,top1_score,top1_text_preview
Structural + Dense,structural,dense,10,هل أستطيع رفع ملفات حماية الأجور عبر موقع وزارة الموارد البشرية والتنمية الاجتماعية للخدمات الإلكترونية؟,True,1.0,True,True,True,1.0,13.66,415,,faq,0.933031439781189,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل أستطيع رفع ملفات حماية الأجور عبر موقع وزارة الموارد البشرية والتنمية الاجتماعية للخدمات الإلكترونية؟ الإجابة: يدخل المستخدم إلى برنامج حماية الأجور فقط عن طريق منصة مُدد ، بعد أن كان موقع الخدمات الإلكترونية لوزارة الموارد 
Structural + Dense,structural,dense,11,ما هو نظام حماية الأجور؟,True,1.0,True,True,True,1.0,12.79,416,,faq,0.9110606908798218,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو نظام حماية الأجور؟ الإجابة: هو برنامج أطلقته وزارة الموارد البشرية والتنمية الاجتماعية عام 2013 يمكّن المنشآت من رفع ملفات أجور العاملين فيها ويعمل على رصد نسب الالتزام والمخالفات ومعالجة التبريرات ويستهدف النظام جميع منش
Structural + Dense,structural,dense,12,ما هي أهداف برنامج حماية الأجور؟,True,1.0,True,True,True,1.0,16.52,416,,faq,0.8777627348899841,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو نظام حماية الأجور؟ الإجابة: هو برنامج أطلقته وزارة الموارد البشرية والتنمية الاجتماعية عام 2013 يمكّن المنشآت من رفع ملفات أجور العاملين فيها ويعمل على رصد نسب الالتزام والمخالفات ومعالجة التبريرات ويستهدف النظام جميع منش
Structural + Dense,structural,dense,13,هل يمكن للشركات تعديل بياناتها الخاصة عبر الإنترنت,True,1.0,True,True,True,1.0,16.19,307,,faq,0.8868712186813354,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل تمكن البوابة والانظمة التابعة لها المستخدم الاعتباري (الشركات) من تعديل بياناتها الإجابة: نعم تمكن البوابة والأنظمة التابعة لها المستخدم الاعتباري (الشركات) من تعد
Structural + Dense,structural,dense,14,ما هي أهمية تطبيق وزارة الموارد البشرية والتنمية الاجتماعية للأفراد؟,True,1.0,True,True,True,1.0,13.36,294,,faq,0.8406557440757751,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل توفر وزارة الموارد البشرية والتنمية الاجتماعية الخدمة في المراكز المجتمعية ومكاتب البريد والمكتبات والأكشاك الإجابة: توفر وزارة الموارد البشرية والتنمية الاجتماعية خدماتها عبر الموقع الرسمي و تطبيق الوزارة .
Structural + Dense,structural,dense,15,الأسئلة الشائعة لبوابة حساب المواطن,True,1.0,True,True,True,1.0,11.8,501,,faq,0.8724567890167236,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: هل تحتاج الى مساعدة او إعانة؟ الإجابة: 1. يمكن من خلال برنامج حساب المواطن توفير الدعم بشكل نقدي يحول مباشرة للمستفيدين المستحقين لحماية الأسر السعودية من الأثر المباشر وغير المباشر المتوقع من الإصلاحات الاقتصادية المختلفة. 2. يمكن تقديم طلب للح
Structural + Dense,structural,dense,16,هل يمكن لحملة الشهادة الابتدائية التقديم ؟,True,1.0,True,True,True,1.0,8.43,777,,faq,0.8189971446990967,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: كيف يمكن تقديم طلب خدمة التقديم على برنامج الاسر الكافلة؟ الإجابة: تسجيل الدخول إلى بوابة الخدمات الالكترونية. يختار المستخدم خدمة التقديم على برنامج الأسر الحاضنة من قائمة الخدمات الالكترونية. تعبئة البيان
Structural + Dense,structural,dense,17,من هم الفئة المستهدفة ؟,True,1.0,True,True,True,1.0,8.32,765,,faq,0.8515465259552002,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من هم الفئة المستهدفة من الخدمة؟ الإجابة: الأسر الحاضنة للايتام المسجلين في نظام الوزارة
Structural + Dense,structural,dense,18,هل جميع السلالم ممكنة للجهات الحكومية؟,True,1.0,True,True,True,1.0,16.66,667,,faq,0.8291913866996765,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: مدى شمول قرار مجلس الخدمة المدنية رقم (1/1811) وتاريخ 28/2/1435هـ لجميع سلالم الرواتب الوظيفية المعادلة لسلم رواتب الموظفين العام؟ الإجابة: وفقاً لنص الفقرة (أولاً) من قراري مجلس الخدمة المدنية رقم (1/1399) وتاريخ 3/3
Structural + Dense,structural,dense,19,هل يمكن إلغاء التأشيرة المصدرة من مساند؟,True,1.0,True,True,True,1.0,20.43,327,,faq,0.8508511781692505,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يمكن إصدار تأشيرة لجنسية أو مهنة غير مدرجة في مساند؟ الإجابة: لابد أن تكون جنسية أومهنة العامل/ العاملة المنزلية من ضمن الخيارات الموجودة في النظام.
Structural + Dense,structural,dense,20,هل يتم القبول مباشرة ؟,True,1.0,True,True,True,1.0,11.98,333,,faq,0.836993932723999,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يتم الإصدار مباشرة ؟ الإجابة: نعم عند تحقق الشروط
Structural + Dense,structural,dense,21,هل يمكنني تغيير مهنة الموظف الوافد إلى مهنة خاضعة لقرارات التوطين؟,True,1.0,True,True,True,1.0,15.09,334,,faq,0.8521279096603394,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يمكن تغيير المهنة في التأشيرة بعد إصدارها؟ الإجابة: يمكن تغيير المهنة للموظف بعد القدوم أو إلغاء التأشيرة وإعادة إصدارها باختيار المهنة المطلوبة
Structural + Dense,structural,dense,22,هل خدمة توثيق العقود الزامية؟,True,1.0,True,True,True,1.0,8.27,421,,faq,0.8760836124420166,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: توثيق العقود الإجابة: تهدف الخدمة إلى حفظ حقوق أصحاب العلاقة (صاحب العمل والموظف) وتوفير بيئة عمل تساعد على استقرار الموظف وزيادة إنتاجيته، إضافة الى التحقق من التزام المنشآت بقوانين وأحكام نظام العمل، والتأكد من صحة بيانات الع
Structural + Dense,structural,dense,23,كيف سأستفيد من المنصة,True,1.0,True,True,True,1.0,9.1,251,,faq,0.85384202003479,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | المواطنين | كبار السن | مقيمين | قطاع التنمية الاجتماعية | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يمكن الاستفادة من الخدمة؟ الإجابة: بواسطة قناة تقديم الخدمة من خلال الضغط على زر ابدأ الخدمة
Structural + Dense,structural,dense,24,ما هي وثيقة العمل الحر؟,True,1.0,True,True,True,1.0,16.46,352,,faq,0.857471227645874,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي الـمـــزايــــا المــقــدمـــة من وثيقة العمل الحـر؟ الإجابة: التسجيل الإختياري في التأمينات الاجتماعية. التعاقد مع الجهات الحكومية والخاصة بإستخدام الوثيقة كمستند رسمي. فتح حساب بنكي مرتبط بالوثيقة. إستخدام قنوات الد
Structural + Dense,structural,dense,25,ما هي آلية الدفع؟,True,2.0,False,True,True,0.5,12.16,91,التسعون,legal_article,0.7854753732681274,المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الأول المادة التسعون: النص: يجب دفع أجر العامل وكل مبلغ مستحق له بالعملة الرسمية للبلاد طبقاً للأحكام الآتية : العمال باليومية : تصرف أجورهم مرة كل أسبوع على الأقل . العمال ذوو الأجور الشهرية : تصرف أجورهم مرة في الشهر . إذا كان العمل يؤدى بالقطعة ، ويحتاج لمدة تزيد على أسبوعين ؛ فيج
Structural + Dense,structural,dense,26,"هل بياناتي سرية في برنامج ""مواءمة""؟",True,1.0,True,True,True,1.0,19.96,357,,faq,0.8602209091186523,"المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: لماذا توجد رسوم مالية على برنامج ""مواءمة""؟ وهل تعود لوزارة الموارد البشرية والتنمية الاجتماعية؟ الإجابة: انطلاقًا من مبدأ الشراكة مع القطاع الخاص، فإن وزارة الموراد البشرية تتعامل مع رسوم الاشتراك في برنامج ""مواءمة"" على أن"
Structural + Dense,structural,dense,27,كيف أستفيد من شهادة السعودة؟,True,1.0,True,True,True,1.0,8.67,364,,faq,0.8767204284667969,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يمكنني الاستعلام عن حالة شهادة السعودة بعد استخراجها؟ الإجابة: يمكن للمستخدم الاستعلام عن شهادة السعودة من خلال لوحة تحكم قوى.
Structural + Dense,structural,dense,28,ما هو العمل المرن ؟,True,1.0,True,True,True,1.0,8.61,379,,faq,0.8189088702201843,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل التعاقد من خلال البوابة الإلكترونية للعمل المرن إلزامي؟ الإجابة: نعم، لا بد من توثيق العقد بالبوابة الالكترونية التي أطلقتها الوزارة ولن يتم قبول أي عقد تم خارج البوابة الالكتروني
Structural + Dense,structural,dense,29,هل التقديم على الضمان الإجتماعي المطور يؤثر على إستحقاق معاش الضمان السابق؟,True,1.0,True,True,True,1.0,13.69,381,,faq,0.8530861139297485,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: ماهي طريقة التسجيل في الضمان المطور؟ الإجابة: إنشاء مستخدم جديد وتعبئة البيانات المطلوبة: رقم الهوية، وتاريخ الميلاد، ورقم الجوال. سيتم إرسال ”رمز التحقق“ إلى رقم الجوال المدخل إدخال رمز التحقق المرسل إلى جوالك والضغط على
Structural + Dense,structural,dense,30,ماهي الفئات المستهدفة التي سيشملها المعاش في النظام المطور، وهل سيقتصر على فئات محددة مثل النظام السابق؟,True,1.0,True,True,True,1.0,9.54,765,,faq,0.8379063606262207,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من هم الفئة المستهدفة من الخدمة؟ الإجابة: الأسر الحاضنة للايتام المسجلين في نظام الوزارة
Structural + Dense,structural,dense,31,ما الفرق بين النظام السابق والمطور؟,True,1.0,True,True,True,1.0,16.26,305,,faq,0.782166063785553,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع التنمية الاجتماعية | قطاع الخدمة المدنية (العام) | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يمكن للمستخدمين الوصول إلى قائمة عملياته او معاملاته السابقة في البوابة؟ الإجابة: نعم تمكن الأنظمة التابعة للبوابة للمستفيد من الوصول الى قائمة عملياته او معاملاته
Structural + Dense,structural,dense,32,سبب اختلاف عدد العمال السعوديين الظاهرين لدى الموارد البشرية عن العدد الفعلي لدي؟,True,1.0,True,True,True,1.0,20.28,384,,faq,0.8765921592712402,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو سبب الاختلاف بين عدد السعوديين المسجلين ونسبة التوطين؟ الإجابة: عدد السعوديين لدى التأمينات يعتمد على تسجيلهم فقط ونسبة التوطين تعتمد على انتظام السداد لدى التأمينات.
Structural + Dense,structural,dense,33,كيف يتم حساب نسبة التوطين للشركات التي تعمل في قطاعات مختلفة تحت سجل تجاري واحد؟,True,1.0,True,True,True,1.0,9.37,471,,faq,0.859153151512146,المصدر: HRSD FAQ التصنيف: أصحاب عمل | أفراد | العمالة المنزلية | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: هل يتم احتساب نسبة التوطين لكل كيان ام كل منشأة بشكل منفصل؟ الإجابة: يتم الاحتساب على كيان المنشأة – ويعرف الكيان بانه الصفة التي ستتعامل معها الوزارة لأغراض حساب التوطين وتمثل جميع الفروع لذات النشاط الاقتصادي المملوكة لم
Structural + Dense,structural,dense,34,كيف يحسب الوافد وزوجته سعودية أو الوافدة وزوجها سعودي؟,True,1.0,True,True,True,1.0,13.44,389,,faq,0.8231536149978638,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم احتساب من سبق ونفذ بحقه عقوبة سجن؟ الإجابة: يحسب السعودي بسعوديين 2 في أول منشأة التحق بها بعد تنفيذ الحكم وحتى يصبح سجله خالياً، ويتطلب من صاحب العمل تسجيله في مكتب التأمينات الاجتماعية.
Structural + Dense,structural,dense,35,هل يحتسب الطالب في نسب التوطين؟,True,1.0,True,True,True,1.0,11.77,388,,faq,0.8570234179496765,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يحسب طالب الانتساب؟ الإجابة: لا يحتسب طالب الانتساب في نسبة السعودة كطالب، بل يحسب كموظف عادي.
Structural + Dense,structural,dense,36,ما هو الأجر الذي يتم عليه احتساب مكافأة نهاية الخدمة؟ هل هو الأساسي أم الإجمالي؟,True,1.0,True,True,True,1.0,9.46,595,,faq,0.8631966710090637,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | كبار السن | قطاع الخدمة المدنية (العام) | مركز الرياض للسياسات السلوكية السؤال: ما مدى امكانية صرف مكافأة نهاية الخدمة المنصوص عليها بالمادة (53) من لائحة الحقوق والمزايا المالية للعامل المعين على بند الأجور عند انتهاء خدمته؟ الإجابة: عدم استفادة العامل المعين على بند الأجور لهذه المكافأة وانما ت
Structural + Dense,structural,dense,37,في حال تم رصد مخالفات في ملف الأجور، أين أجد تفاصيل المخالفة وتنبيهات السجلات؟,True,1.0,True,True,True,1.0,9.32,291,,faq,0.8510318994522095,المصدر: HRSD FAQ التصنيف: العمالة المنزلية | كبار السن | | مركز الرياض للسياسات السلوكية السؤال: كيف أعرف ما إذا كانت منشأتي ملزمة بتطبيق برنامج حماية الأجور؟ الإجابة: يمكنك معرفة ذلك عبر متابعة المصادر والحسابات الرسمية لوزارة الموارد البشرية والتنمية الاجتماعية.
Structural + Dense,structural,dense,38,ما هي أهداف برنامج حماية الأجور؟,True,1.0,True,True,True,1.0,16.0,416,,faq,0.8777627348899841,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هو نظام حماية الأجور؟ الإجابة: هو برنامج أطلقته وزارة الموارد البشرية والتنمية الاجتماعية عام 2013 يمكّن المنشآت من رفع ملفات أجور العاملين فيها ويعمل على رصد نسب الالتزام والمخالفات ومعالجة التبريرات ويستهدف النظام جميع منش
Structural + Dense,structural,dense,39,ماهي أنواع الأجور؟,True,1.0,True,True,True,1.0,8.47,417,,faq,0.8607504367828369,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي الأجور؟ الإجابة: الأجر الأساسي: كل ما يعطى للعامل مقابل عمله، بموجب عقد عمل مكتوب أو غير مكتوب، مهما كان نوع الأجر أو طريقة أدائه، مضافًا إليه العلاوات الدورية. الأجر الفعلي: الأجر الأساسي مضافًا إليه سائر الزيادات المستحق
Structural + Dense,structural,dense,40,هل يمكن أن يكون عقد عمل العامل غير السعودي غير محدد المدة؟,True,2.0,False,True,True,0.5,10.2,37,السابعة والثلاثون,legal_article,0.8941185474395752,المصدر: نظام العمل السعودي الباب الثالث - توظيف غير السعوديين المادة السابعة والثلاثون : النص: يجب أن يكون عقد عمل غير السعودي مكتوباً ومحدد المدة. وإذا خلا العقد من بيان مدته تعد مدته (سنة) من تاريخ مباشرة العامل الفعلية، وإذا استمر العمل بعد انتهاء هذه المدة، عُدَّ متجدداً لمدة مماثلة.
Structural + Dense,structural,dense,41,كيف أقدم شكوى على أحد الموظفين في مكاتب العمل؟ وما الحل إذا لم تتم الإفادة من المدير المباشر؟,True,1.0,True,True,True,1.0,11.21,426,,faq,0.8534184098243713,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف اتابع الشكوى وما هي الوثائق المطلوبة؟ الإجابة: على العميل متابعة الموضوع مع مكتب الشكاوى في وزارة الموارد البشرية والتنمية الاجتماعية عن طريق مركز الاتصال أو الحضور شخصياً إلى الوزارة وإبراز رقم الشكوى المقدمة للتأكد من صحت
Structural + Dense,structural,dense,42,كيف يمكن لعامل الخدمة المنزلية تقديم شكوى لدى مكتب العمل؟,True,1.0,True,True,True,1.0,10.05,428,,faq,0.8728783130645752,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ما هي أنواع الشكاوى التي يمكن أن يقدمها الموظف على صاحب العمل؟ الإجابة: من أنواع الشكاوى: تأخير رواتب. التكليف بعمل مختلف عن طبيعة العمل المتفق عليه في العقد الموقع بين الطرفين سوء المعاملة عدم وجود سكن للموظف (في حال لم ينص عق
Structural + Dense,structural,dense,43,هل تحتسب أوقات الراحة ضمن ساعات العمل؟,True,1.0,True,True,True,1.0,8.54,437,,faq,0.8513857126235962,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: كيف يتم احتساب تداخل الإجازات؟ الإجابة: في حال تداخل أيام إجازات الأعياد والمناسبات مع الآتي: الراحة الأسبوعية: يعوض العامل عنها بما يعادلها قبل أيام تلك الإجازات أو بعدها. الإجازة السنوية: تمدد الإجازة السنوية بقدر أيام هذه ال
Structural + Dense,structural,dense,44,أيام الإجازة بحالة الوفاة لا قدر الله,True,1.0,True,True,True,1.0,13.95,438,,faq,0.8292956352233887,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: وقت إجازتي السنوية صادف يوم إجازة رسمية من الدولة (سواء يوم التأسيس أو اليوم الوطني) الإجابة: التعويض في هذه الحالة محدد، فإذا وافق يوم السبت يعوض عنه بيوم الأحد الذي بعده وإذا وافق يوم جمعة يعوض بيوم الخميس الذي قبله فيما عدا 
Structural + Dense,structural,dense,45,ماهي حقوق العامل في الحصول على إجازة في حالة وجود امتحان لديه؟,True,2.0,False,True,True,0.5,13.17,116,الخامسة عشرة بعد المائة,legal_article,0.8742494583129883,المصدر: نظام العمل السعودي الباب السادس - شروط العمل وظروفه الفصل الرابع المادة الخامسة عشرة بعد المائة: النص: للعامل - إذا وافق صاحب العمل على انتسابه إلى مؤسسة تعليمية أو قَبِل استمراره فيها - الحق في إجازة بأجر كامل لتأدية الامتحان عن سنة غير معادة تحدد مدتها بعدد أيام الامتحان الفعلية . أما إذا كان الامتحان عن سنة معادة فيكون للعامل الحق في إجا
Structural + Dense,structural,dense,46,ماهي الواجبات على صاحب العمل في الإجازات؟,True,1.0,True,True,True,1.0,9.1,440,,faq,0.8634611964225769,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي شروط وضوابط الإجازات للعامل؟ الإجابة: يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يومًا، تُزاد إلى مدة لا تقل عن ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وتكون الإجازة بأجر يدفع م
Structural + Dense,structural,dense,47,ماهي الاجازات الرسمية للعامل؟,True,1.0,True,True,True,1.0,11.87,440,,faq,0.8649955987930298,المصدر: HRSD FAQ التصنيف: أعمال | العمالة المنزلية | عامل | كبار السن | قطاع العمل | مركز الرياض للسياسات السلوكية السؤال: ماهي شروط وضوابط الإجازات للعامل؟ الإجابة: يستحق العامل عن كل عام إجازة سنوية لا تقل مدتها عن واحد وعشرين يومًا، تُزاد إلى مدة لا تقل عن ثلاثين يومًا إذا أمضى العامل في خدمة صاحب العمل خمس سنوات متصلة، وتكون الإجازة بأجر يدفع م
Structural + Dense,structural,dense,48,ماهي المراحل المستهدفة ؟,True,1.0,True,True,True,1.0,12.31,765,,faq,0.8135536909103394,المصدر: HRSD FAQ التصنيف: أفراد | العمالة المنزلية | امرأة | شباب | كبار السن | قطاع التنمية الاجتماعية | مركز الرياض للسياسات السلوكية السؤال: من هم الفئة المستهدفة من الخدمة؟ الإجابة: الأسر الحاضنة للايتام المسجلين في نظام الوزارة
