file_group,file_name,file_path,exists,size_kb,status
data_or_report,rag_knowledge_base_dataset_full_production_active_law_only.csv,saudi_labor_law_voice_agent_project\03_final\rag_knowledge_base_dataset_full_production_active_law_only.csv,True,2126.99,OK
data_or_report,rag_knowledge_base_dataset_experiment_no_leakage.csv,saudi_labor_law_voice_agent_project\03_final\rag_knowledge_base_dataset_experiment_no_leakage.csv,True,1756.81,OK
data_or_report,rag_knowledge_base_dataset_full_production.csv,saudi_labor_law_voice_agent_project\03_final\rag_knowledge_base_dataset_full_production.csv,True,2126.99,OK
data_or_report,legal_articles_repealed_archive_not_indexed.csv,saudi_labor_law_voice_agent_project\03_final\legal_articles_repealed_archive_not_indexed.csv,True,36.05,OK
data_or_report,rag_evaluation_dataset.csv,saudi_labor_law_voice_agent_project\03_final\rag_evaluation_dataset.csv,True,180.25,OK
data_or_report,rag_retrieval_evaluation_dataset_valid_only.csv,saudi_labor_law_voice_agent_project\03_final\rag_retrieval_evaluation_dataset_valid_only.csv,True,176.18,OK
data_or_report,legal_questions_missing_gold_articles.csv,saudi_labor_law_voice_agent_project\03_final\legal_questions_missing_gold_articles.csv,True,0.38,OK
data_or_report,legal_questions_with_valid_gold_articles.csv,saudi_labor_law_voice_agent_project\03_final\legal_questions_with_valid_gold_articles.csv,True,36.43,OK
data_or_report,rag_chunks_structural_legal_experiment.csv,saudi_labor_law_voice_agent_project\04_chunks\rag_chunks_structural_legal_experiment.csv,True,1025.53,OK
data_or_report,rag_chunks_fixed_size_experiment.csv,saudi_labor_law_voice_agent_project\04_chunks\rag_chunks_fixed_size_experiment.csv,True,1004.79,OK
data_or_report,legal_article_rag_policy_split.csv,saudi_labor_law_voice_agent_project\05_reports\legal_article_rag_policy_split.csv,True,0.23,OK
data_or_report,data_quality_report.csv,saudi_labor_law_voice_agent_project\05_reports\data_quality_report.csv,True,1.75,OK
data_or_report,chunk_quality_report.csv,saudi_labor_law_voice_agent_project\05_reports\chunk_quality_report.csv,True,2.13,OK
data_or_report,chunk_length_summary.csv,saudi_labor_law_voice_agent_project\05_reports\chunk_length_summary.csv,True,0.13,OK
data_or_report,dataset_summary.csv,saudi_labor_law_voice_agent_project\05_reports\dataset_summary.csv,True,3.04,OK
data_or_report,dataset_summary.xlsx,saudi_labor_law_voice_agent_project\05_reports\dataset_summary.xlsx,True,6.24,OK
data_or_report,dataset_summary.json,saudi_labor_law_voice_agent_project\05_reports\dataset_summary.json,True,5.12,OK
main_academic_figure,01_ar_data_completeness_vs_retrieval_safety.png,saudi_labor_law_voice_agent_project\05_reports\figures\01_ar_data_completeness_vs_retrieval_safety.png,True,127.26,OK
main_academic_figure,02_ar_faq_split_without_leakage.png,saudi_labor_law_voice_agent_project\05_reports\figures\02_ar_faq_split_without_leakage.png,True,64.93,OK
main_academic_figure,03_ar_chunking_strategy_comparison.png,saudi_labor_law_voice_agent_project\05_reports\figures\03_ar_chunking_strategy_comparison.png,True,57.28,OK
main_academic_figure,04_ar_evaluation_dataset_composition.png,saudi_labor_law_voice_agent_project\05_reports\figures\04_ar_evaluation_dataset_composition.png,True,59.58,OK
