eval_id,model_key,model_name,eval_type,faithfulness,answer_relevance,judge_reason
65,qwen_7b,Qwen2.5-7B-Instruct,faq_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث يتحمل صاحب العمل رسوم الإقامة ورخصة العمل وتجديدهما حسب المادة 40 من نظام العمل السعودي.
11,qwen_7b,Qwen2.5-7B-Instruct,faq_retrieval,3.0,2.0,الإجابة تحتوي على معلومات غير متعلقة بالسؤال، مثل إمكانية تعديل البيانات وتصفح المعاملات السابقة، والتي لم يسأل عنها السؤال.
19,qwen_7b,Qwen2.5-7B-Instruct,faq_retrieval,3.0,1.0,الإجابة لا ترد على السؤال المطروح حول المؤهلات اللازمة للانضمام للبرنامج، بل تتحدث عن الفئات المتاحة للانضمام لبرنامج العمل عن بعد.
138,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث تم تقديم النص الدستوري المتعلق بمنع نقل العامل بغير موافقته كتابة.
122,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث ذكرت مدة فترة التجربة بشكل دقيق وهي لا تتجاوز مائة وثمانية أيام.
140,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، حيث تصف كيفية دفع أجر العامل كما ورد في المادة 90 من نظام العمل السعودي.
133,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، وتلخص بشكل صحيح مدة الإشعار عند إنهاء العقد غير المحدد المدة بناءً على نظام العمل السعودي.
131,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحل السؤال بشكل صحيح.
135,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، حيث ذكرت المادة القانونية المناسبة ونصها بشكل دقيق دون إضافة معلومات غير متعلقة بالسؤال.
123,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث ذكرت المادة رقم 54 من نظام العمل السعودي بشكل دقيق دون إضافة أي معلومات غير متعلقة بالسؤال.
143,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة تتضمن المعلومات الدقيقة من السياق المسترجع حول الحد الأقصى لساعات العمل الإضافية وأجرها، وهي ذات صلة بالأسئلة المطروحة.
127,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، حيث ذكرت مدة الإجازة السنوية المستحقة للعامل كما هو مذكور في المادة 109 من نظام العمل السعودي.
124,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,3.0,5.0,الإجابة غير كاملة وغير دقيقة نسبياً من حيث الدقة القانونية، لكنها تجيب بشكل صحيح عن السؤال المطروح.
134,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المقدم، وتلخص المادة 77 من نظام العمل السعودي بشكل دقيق بدون إضافة معلومات غير متعلقة.
137,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة حول استحقاق مكافأة نهاية الخدمة.
125,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع، حيث ذكرت الحد الأقصى لساعات العمل الأسبوعية بشكل دقيق.
126,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,5.0,5.0,الإجابة متوافقة تماماً مع السياق المسترجع وتحتوي على المعلومات المطلوبة حول ساعات العمل خلال شهر رمضان.
144,qwen_7b,Qwen2.5-7B-Instruct,legal_article_retrieval,3.0,2.0,الإجابة لا تجيب بشكل مباشر على السؤال عن أحكام السلامة والصحة المهنية في بيئة العمل، بل تقدم معلومات عامة عن نظام العمل السعودي وخدمات التظلمات. بالإضافة إلى ذلك، تحتوي على معلومات غير ذات صلة مثل خدمة التظلمات.
